# Voyager1 data from NASA JPL HORIZONS
# Updated through 2026-Aug-16; generated by scripts/update_data.py
# date, x_km, y_km, z_km, vx_km_s, vy_km_s, vz_km_s
$$SOE
1984-Jul-30, -1.904750108119348E+09, -1.923009983581987E+09, 1.409213306920088E+09, -2.980207540938663E+00, -1.524371388963861E+01, 1.101999280314893E+01
1984-Aug-29, -1.912445524066242E+09, -1.962490897849757E+09, 1.437754781273874E+09, -2.957680330406469E+00, -1.522003877128574E+01, 1.100293287611539E+01
1984-Sep-28, -1.920083489211300E+09, -2.001911093295645E+09, 1.466252856402232E+09, -2.935952493499426E+00, -1.519686249244044E+01, 1.098638242120217E+01
1984-Oct-28, -1.927666240075790E+09, -2.041271833415285E+09, 1.494708500263928E+09, -2.915080075578508E+00, -1.517416033075567E+01, 1.097019264052138E+01
1984-Nov-27, -1.935195988438583E+09, -2.080574389888284E+09, 1.523122641032326E+09, -2.895044789300866E+00, -1.515197622921849E+01, 1.095435666920322E+01
1984-Dec-27, -1.942674794472285E+09, -2.119820165958928E+09, 1.551496177497690E+09, -2.875746200929138E+00, -1.513034810122637E+01, 1.093885892564349E+01
1985-Jan-26, -1.950104409010379E+09, -2.159010517463746E+09, 1.579829970763068E+09, -2.857087706018100E+00, -1.510919597813723E+01, 1.092369037414558E+01
1985-Feb-25, -1.957486476614868E+09, -2.198146618901185E+09, 1.608124855172854E+09, -2.839054879065829E+00, -1.508848108325336E+01, 1.090883443692809E+01
1985-Mar-27, -1.964822576249979E+09, -2.237229586466736E+09, 1.636381589719022E+09, -2.821613217894417E+00, -1.506817736228929E+01, 1.089426852124676E+01
1985-Apr-26, -1.972114256527064E+09, -2.276260313971169E+09, 1.664601015370385E+09, -2.804793875581020E+00, -1.504817972174051E+01, 1.088003094342923E+01
1985-May-26, -1.979363209369829E+09, -2.315239658273134E+09, 1.692783932019736E+09, -2.788647197919503E+00, -1.502853992774807E+01, 1.086609638547726E+01
1985-Jun-25, -1.986571156414856E+09, -2.354168644872181E+09, 1.720931109237853E+09, -2.773136227937479E+00, -1.500932859760812E+01, 1.085245191662276E+01
1985-Jul-25, -1.993739661524014E+09, -2.393048373615984E+09, 1.749043289614739E+09, -2.758214857025769E+00, -1.499053590461744E+01, 1.083909214992157E+01
1985-Aug-24, -2.000870207377221E+09, -2.431879970959980E+09, 1.777121201251967E+09, -2.743836830948114E+00, -1.497219379665555E+01, 1.082600759290170E+01
1985-Sep-23, -2.007964091496744E+09, -2.470664636497907E+09, 1.805165538310069E+09, -2.729906284998959E+00, -1.495430616818537E+01, 1.081318406548954E+01
1985-Oct-23, -2.015022402078009E+09, -2.509403391255587E+09, 1.833176970207786E+09, -2.716392862108484E+00, -1.493676432344541E+01, 1.080061764836577E+01
1985-Nov-22, -2.022046264598855E+09, -2.548097104001811E+09, 1.861156163671819E+09, -2.703330358076832E+00, -1.491955116565493E+01, 1.078830799576187E+01
1985-Dec-22, -2.029036832396120E+09, -2.586746643925775E+09, 1.889103769595131E+09, -2.690694121368892E+00, -1.490267357627417E+01, 1.077624351055293E+01
1986-Jan-21, -2.035995215285643E+09, -2.625352823266760E+09, 1.917020421629316E+09, -2.678505786093121E+00, -1.488610146663786E+01, 1.076442383223128E+01
1986-Feb-20, -2.042922594490839E+09, -2.663916502629848E+09, 1.944906748167507E+09, -2.666766106476772E+00, -1.486988868027701E+01, 1.075284199029202E+01
1986-Mar-22, -2.049820039527197E+09, -2.702438665874200E+09, 1.972763346333047E+09, -2.655390398942273E+00, -1.485405699481537E+01, 1.074148374601612E+01
1986-Apr-21, -2.056688424844993E+09, -2.740920209161506E+09, 2.000590787162375E+09, -2.644347568344012E+00, -1.483854532149120E+01, 1.073034356054509E+01
1986-May-21, -2.063528628268656E+09, -2.779361949079805E+09, 2.028389635638401E+09, -2.633641711187007E+00, -1.482334234955319E+01, 1.071942006363282E+01
1986-Jun-20, -2.070341459608499E+09, -2.817764657140315E+09, 2.056160431845165E+09, -2.623224509298494E+00, -1.480841140097244E+01, 1.070869816850795E+01
1986-Jul-20, -2.077127746508780E+09, -2.856128945084014E+09, 2.083903711335521E+09, -2.613172437300640E+00, -1.479370376133874E+01, 1.069818762781085E+01
1986-Aug-19, -2.083888490919489E+09, -2.894455458421784E+09, 2.111620012688421E+09, -2.603517093641941E+00, -1.477927847380288E+01, 1.068788040626572E+01
1986-Sep-18, -2.090624684806361E+09, -2.932744995031141E+09, 2.139309842436703E+09, -2.594219002977481E+00, -1.476516499355678E+01, 1.067776450805234E+01
1986-Oct-18, -2.097337157170658E+09, -2.970998456938520E+09, 2.166973741078354E+09, -2.585198933545946E+00, -1.475147791641280E+01, 1.066787250674809E+01
1986-Nov-17, -2.104026645662224E+09, -3.009216829836257E+09, 2.194612222893745E+09, -2.576480354503194E+00, -1.473807058018195E+01, 1.065814582385154E+01
1986-Dec-17, -2.110693756459014E+09, -3.047400892072120E+09, 2.222225710671541E+09, -2.567869090025014E+00, -1.472501909598826E+01, 1.064860133219603E+01
1987-Jan-16, -2.117338780211219E+09, -3.085551430746047E+09, 2.249814691618786E+09, -2.559496303617641E+00, -1.471216419958265E+01, 1.063922578740530E+01
1987-Feb-15, -2.123962372581934E+09, -3.123669003124894E+09, 2.277379710968957E+09, -2.551340258007430E+00, -1.469955649022563E+01, 1.063007061345523E+01
1987-Mar-17, -2.130565107640874E+09, -3.161754091060044E+09, 2.304921118125082E+09, -2.543406476771160E+00, -1.468711214796743E+01, 1.062104529277883E+01
