$$SOE
1981-Mar-02, -1.261941817510609E+09, -9.802495032696801E+07, 5.114520359805211E+07, -9.878801109262742E+00, -1.274943260084679E+01, 6.618774104048120E-01
1981-Apr-01, -1.287277509743550E+09, -1.310493686021163E+08, 5.284980231814731E+07, -9.672244401157457E+00, -1.273176049221636E+01, 6.534621128137106E-01
1981-May-01, -1.312092824764377E+09, -1.640236441747822E+08, 5.453309463958430E+07, -9.477403280942124E+00, -1.271091291845335E+01, 6.454457172828567E-01
1981-May-31, -1.336419762282285E+09, -1.969410153448439E+08, 5.619621118797008E+07, -9.295877019015405E+00, -1.268809354173549E+01, 6.379207714455806E-01
1981-Jun-30, -1.360299071957477E+09, -2.297990298028445E+08, 5.784075970177901E+07, -9.133893215680617E+00, -1.266580035031865E+01, 6.312134641708269E-01
1981-Jul-30, -1.383812224222222E+09, -2.626095615482922E+08, 5.947039075964029E+07, -9.026698082286673E+00, -1.265584778504460E+01, 6.270663366877862E-01
1981-Aug-29, -1.404190681041199E+09, -2.988718701510519E+08, 6.080323281232359E+07, 3.753170028017935E+00, -2.080140765100046E+01, -4.036317870080506E-01
1981-Sep-28, -1.394485508418972E+09, -3.511432649158852E+08, 5.981478255220170E+07, 3.799958627913639E+00, -2.000029435400273E+01, -3.784598814792597E-01
1981-Oct-28, -1.384419994171410E+09, -4.028841551058807E+08, 5.883186248972076E+07, 3.959991428881390E+00, -1.992019493729357E+01, -3.816950021520613E-01
1981-Nov-27, -1.373955272870502E+09, -4.544282053152698E+08, 5.783498571417546E+07, 4.114609911775058E+00, -1.985285961165116E+01, -3.875714960928054E-01
1981-Dec-27, -1.363091117534669E+09, -5.058041528289198E+08, 5.682253732676077E+07, 4.267843505320119E+00, -1.978910064835656E+01, -3.936434188493676E-01
1982-Jan-26, -1.351833206194913E+09, -5.570137802392220E+08, 5.579438151999575E+07, 4.418281824784407E+00, -1.972413203814499E+01, -3.996697593173772E-01
1982-Feb-25, -1.340189771671882E+09, -6.080516787801584E+08, 5.475076940099829E+07, 4.565209556763155E+00, -1.965644944213843E+01, -4.055575086623460E-01
1982-Mar-27, -1.328170708107546E+09, -6.589100762702221E+08, 5.369213872580326E+07, 4.708036515478282E+00, -1.958560989608051E+01, -4.112522297381593E-01
1982-Apr-26, -1.315787223059109E+09, -7.095807940141594E+08, 5.261902797112861E+07, 4.846345035804625E+00, -1.951166891535554E+01, -4.167279459115258E-01
1982-May-26, -1.303051377678795E+09, -7.600560602734488E+08, 5.153202319858232E+07, 4.979874880630156E+00, -1.943483524457128E+01, -4.219694959524789E-01
1982-Jun-25, -1.289975885469150E+09, -8.103287609858835E+08, 5.043175135597858E+07, 5.108392810012843E+00, -1.935543198400693E+01, -4.269643484040611E-01
1982-Jul-25, -1.276573891366072E+09, -8.603927326161662E+08, 4.931885319770288E+07, 5.231801557102580E+00, -1.927384343105432E+01, -4.317131562864844E-01
1982-Aug-24, -1.262858644922354E+09, -9.102427283955885E+08, 4.819396255776459E+07, 5.350087891283833E+00, -1.919036864989029E+01, -4.362163132469963E-01
1982-Sep-23, -1.248843521605785E+09, -9.598742463064127E+08, 4.705772280069834E+07, 5.463182764551121E+00, -1.910532119779089E+01, -4.404705601759495E-01
1982-Oct-23, -1.234542006509223E+09, -1.009283656154536E+09, 4.591077496259648E+07, 5.571076353828378E+00, -1.901904821617517E+01, -4.444802129213326E-01
1982-Nov-22, -1.219967524360531E+09, -1.058468175543611E+09, 4.475374788554943E+07, 5.673800776763152E+00, -1.893184098335156E+01, -4.482466537130252E-01
